cell quad (fq1) -> results/runs/quad_fq1.json | workloads ['mix_het', 'mix_hom'] | arms ['bo'] | seeds 0..1 | 180 designs per run
[bo-fq1-s0] 180 designs, batches of 3, 3 to warm up | mix_het+mix_hom | stock 0.6210
[bo-fq1-s1] 180 designs, batches of 3, 3 to warm up | mix_het+mix_hom | stock 0.6210
[bo-fq1-s0] round 24 | D75 | ipc=1.0779 | best 1.0890 | forest | 279 min
[bo-fq1-s1] round 23 | D70 | ipc=0.9316 | best 1.0943 | forest | 281 min
[bo-fq1-s1] round 23 | D71 | ipc=1.0873 | best 1.0943 | forest | 281 min
[bo-fq1-s1] round 23 | D72 | ipc=1.0057 | best 1.0943 | forest | 281 min
[bo-fq1-s0] round 25 | D76 | ipc=1.0214 | best 1.0890 | forest | 291 min
[bo-fq1-s0] round 25 | D77 | ipc=1.0719 | best 1.0890 | forest | 291 min
[bo-fq1-s0] round 25 | D78 | ipc=1.0463 | best 1.0890 | forest | 291 min
[bo-fq1-s1] round 24 | D73 | ipc=0.6941 | best 1.0943 | forest | 296 min
[bo-fq1-s1] round 24 | D74 | ipc=1.0887 | best 1.0943 | forest | 296 min
[bo-fq1-s1] round 24 | D75 | ipc=1.0931 | best 1.0943 | forest | 296 min
[bo-fq1-s1] round 25 | D76 | ipc=1.0082 | best 1.0943 | forest | 299 min
[bo-fq1-s1] round 25 | D77 | ipc=0.9122 | best 1.0943 | forest | 299 min
[bo-fq1-s1] round 25 | D78 | ipc=0.7068 | best 1.0943 | forest | 299 min
[bo-fq1-s0] round 26 | D79 | ipc=1.0863 | best 1.0890 | forest | 303 min
[bo-fq1-s0] round 26 | D80 | ipc=1.0860 | best 1.0890 | forest | 303 min
[bo-fq1-s0] round 26 | D81 | ipc=0.9831 | best 1.0890 | forest | 303 min
[bo-fq1-s1] round 26 | D79 | ipc=0.9208 | best 1.0943 | forest | 309 min
[bo-fq1-s1] round 26 | D80 | ipc=1.0807 | best 1.0943 | forest | 309 min
[bo-fq1-s1] round 26 | D81 | ipc=0.9422 | best 1.0943 | forest | 309 min
[bo-fq1-s0] round 27 | D82 | ipc=1.0273 | best 1.0890 | forest | 313 min
[bo-fq1-s0] round 27 | D83 | ipc=1.0890 | best 1.0890 | forest | 313 min
[bo-fq1-s0] round 27 | D84 | ipc=1.0839 | best 1.0890 | forest | 313 min
[bo-fq1-s1] round 27 | D82 | ipc=1.0792 | best 1.0943 | forest | 318 min
[bo-fq1-s1] round 27 | D83 | ipc=1.0753 | best 1.0943 | forest | 318 min
[bo-fq1-s1] round 27 | D84 | ipc=1.0895 | best 1.0943 | forest | 318 min
[bo-fq1-s0] round 28 | D85 | ipc=0.8957 | best 1.0890 | forest | 324 min
[bo-fq1-s0] round 28 | D86 | ipc=1.0673 | best 1.0890 | forest | 324 min
[bo-fq1-s0] round 28 | D87 | ipc=1.0445 | best 1.0890 | forest | 324 min
[bo-fq1-s1] round 28 | D85 | ipc=1.0737 | best 1.0943 | forest | 331 min
[bo-fq1-s1] round 28 | D86 | ipc=1.0778 | best 1.0943 | forest | 331 min
[bo-fq1-s1] round 28 | D87 | ipc=1.0709 | best 1.0943 | forest | 331 min
[bo-fq1-s0] round 29 | D88 | ipc=1.0861 | best 1.0890 | forest | 338 min
[bo-fq1-s0] round 29 | D89 | ipc=1.0106 | best 1.0890 | forest | 338 min
[bo-fq1-s0] round 29 | D90 | ipc=1.0812 | best 1.0890 | forest | 338 min
[bo-fq1-s1] round 29 | D88 | ipc=1.0578 | best 1.0943 | forest | 342 min
[bo-fq1-s1] round 29 | D89 | ipc=1.0363 | best 1.0943 | forest | 342 min
[bo-fq1-s1] round 29 | D90 | ipc=0.9950 | best 1.0943 | forest | 342 min
[bo-fq1-s1] round 30 | D91 | ipc=1.0236 | best 1.0943 | forest | 345 min
[bo-fq1-s1] round 30 | D92 | ipc=1.0350 | best 1.0943 | forest | 345 min
[bo-fq1-s1] round 30 | D93 | ipc=0.8361 | best 1.0943 | forest | 345 min
[bo-fq1-s0] round 30 | D91 | ipc=1.0661 | best 1.0890 | forest | 350 min
[bo-fq1-s0] round 30 | D92 | ipc=1.0698 | best 1.0890 | forest | 350 min
[bo-fq1-s0] round 30 | D93 | ipc=1.0721 | best 1.0890 | forest | 350 min
[bo-fq1-s1] round 31 | D94 | ipc=1.0317 | best 1.0943 | forest | 354 min
[bo-fq1-s1] round 31 | D95 | ipc=1.0084 | best 1.0943 | forest | 354 min
[bo-fq1-s1] round 31 | D96 | ipc=1.0368 | best 1.0943 | forest | 354 min
[bo-fq1-s0] round 31 | D94 | ipc=1.0262 | best 1.0890 | forest | 362 min
[bo-fq1-s0] round 31 | D95 | ipc=0.7228 | best 1.0890 | forest | 362 min
[bo-fq1-s0] round 31 | D96 | ipc=1.0692 | best 1.0890 | forest | 362 min
[bo-fq1-s1] round 32 | D97 | ipc=1.0410 | best 1.0943 | forest | 365 min
[bo-fq1-s1] round 32 | D98 | ipc=1.0409 | best 1.0943 | forest | 365 min
[bo-fq1-s1] round 32 | D99 | ipc=1.0419 | best 1.0943 | forest | 365 min
[bo-fq1-s1] round 33 | D100 | ipc=1.0133 | best 1.0943 | forest | 369 min
[bo-fq1-s1] round 33 | D101 | ipc=0.9578 | best 1.0943 | forest | 369 min
[bo-fq1-s1] round 33 | D102 | ipc=1.0895 | best 1.0943 | forest | 369 min
[bo-fq1-s0] round 32 | D97 | ipc=0.9410 | best 1.0890 | forest | 374 min
[bo-fq1-s0] round 32 | D98 | ipc=1.0796 | best 1.0890 | forest | 374 min
[bo-fq1-s0] round 32 | D99 | ipc=1.0488 | best 1.0890 | forest | 374 min
[bo-fq1-s1] round 34 | D103 | ipc=1.0362 | best 1.0943 | forest | 378 min
[bo-fq1-s1] round 34 | D104 | ipc=1.0895 | best 1.0943 | forest | 378 min
[bo-fq1-s1] round 34 | D105 | ipc=1.0436 | best 1.0943 | forest | 378 min
[bo-fq1-s0] round 33 | D100 | ipc=0.6769 | best 1.0890 | forest | 384 min
[bo-fq1-s0] round 33 | D101 | ipc=1.0873 | best 1.0890 | forest | 384 min
[bo-fq1-s0] round 33 | D102 | ipc=1.0823 | best 1.0890 | forest | 384 min
[bo-fq1-s1] round 35 | D106 | ipc=1.0552 | best 1.0943 | forest | 387 min
[bo-fq1-s1] round 35 | D107 | ipc=0.9534 | best 1.0943 | forest | 387 min
[bo-fq1-s1] round 35 | D108 | ipc=1.0012 | best 1.0943 | forest | 387 min
[bo-fq1-s0] round 34 | D103 | ipc=1.0822 | best 1.0890 | forest | 394 min
[bo-fq1-s0] round 34 | D104 | ipc=1.0586 | best 1.0890 | forest | 394 min
[bo-fq1-s0] round 34 | D105 | ipc=1.0208 | best 1.0890 | forest | 394 min
[bo-fq1-s1] round 36 | D109 | ipc=1.0205 | best 1.0943 | forest | 396 min
[bo-fq1-s1] round 36 | D110 | ipc=1.0286 | best 1.0943 | forest | 396 min
[bo-fq1-s1] round 36 | D111 | ipc=1.0824 | best 1.0943 | forest | 396 min
