cell aiml (mf1) -> results/runs/aiml_mf1.json | workloads ['llama2.c-llama2_7b.1', 'stable-diffusion.cpp-v1-5-pruned-emaonly.1', 'clip_trace_1'] | arms ['bo'] | seeds 0..1 | 180 designs per run
[bo-mf1-s1] 180 designs, batches of 3, 3 to warm up | llama2.c-llama2_7b.1+stable-diffusion.cpp-v1-5-pruned-emaonly.1+clip_trace_1 | stock 0.8457
[bo-mf1-s0] 180 designs, batches of 3, 3 to warm up | llama2.c-llama2_7b.1+stable-diffusion.cpp-v1-5-pruned-emaonly.1+clip_trace_1 | stock 0.8457
[bo-mf1-s1] round 35 | D106 | ipc=1.1588 | best 1.2152 | forest | 66 min
[bo-mf1-s1] round 35 | D107 | ipc=1.2157 | best 1.2157 | forest | 66 min
[bo-mf1-s1] round 35 | D108 | ipc=1.2047 | best 1.2157 | forest | 66 min
[bo-mf1-s1] round 36 | D109 | ipc=1.2137 | best 1.2157 | forest | 66 min
[bo-mf1-s1] round 36 | D110 | ipc=1.2153 | best 1.2157 | forest | 66 min
[bo-mf1-s1] round 36 | D111 | ipc=1.2169 | best 1.2169 | forest | 66 min
[bo-mf1-s1] round 37 | D112 | ipc=1.2169 | best 1.2169 | forest | 67 min
[bo-mf1-s1] round 37 | D113 | ipc=1.2071 | best 1.2169 | forest | 67 min
[bo-mf1-s1] round 37 | D114 | ipc=1.2123 | best 1.2169 | forest | 67 min
[bo-mf1-s1] round 38 | D115 | ipc=1.2186 | best 1.2186 | forest | 67 min
[bo-mf1-s1] round 38 | D116 | ipc=1.0440 | best 1.2186 | forest | 67 min
[bo-mf1-s1] round 38 | D117 | ipc=1.2021 | best 1.2186 | forest | 67 min
[bo-mf1-s0] round 42 | D127 | ipc=1.2330 | best 1.2330 | forest | 68 min
[bo-mf1-s0] round 42 | D128 | ipc=1.0150 | best 1.2330 | forest | 68 min
[bo-mf1-s0] round 42 | D129 | ipc=1.2141 | best 1.2330 | forest | 68 min
[bo-mf1-s1] round 39 | D118 | ipc=1.2163 | best 1.2186 | forest | 68 min
[bo-mf1-s1] round 39 | D119 | ipc=1.1924 | best 1.2186 | forest | 68 min
[bo-mf1-s1] round 39 | D120 | ipc=1.1997 | best 1.2186 | forest | 68 min
[bo-mf1-s0] round 43 | D130 | ipc=1.2092 | best 1.2330 | forest | 68 min
[bo-mf1-s0] round 43 | D131 | ipc=1.0557 | best 1.2330 | forest | 68 min
[bo-mf1-s0] round 43 | D132 | ipc=1.0643 | best 1.2330 | forest | 68 min
[bo-mf1-s1] round 40 | D121 | ipc=1.0480 | best 1.2186 | forest | 68 min
[bo-mf1-s1] round 40 | D122 | ipc=1.1448 | best 1.2186 | forest | 68 min
[bo-mf1-s1] round 40 | D123 | ipc=1.2114 | best 1.2186 | forest | 68 min
[bo-mf1-s0] round 44 | D133 | ipc=1.2242 | best 1.2330 | forest | 69 min
